name_id;full_name;height;weight;date_of_birth;birthplace;position;footedness;roster_category;player_category;position_detail;preferred_side
devon-williams;Devon Williams;5' 7";150 lbs;4.8.1992 (32);;Midfielder;Right;;;Unknown;Unknown
diedie-traore;Diedie Traore;6' 1";165 lbs;1.15.1999 (26);unknown, France;Defender;Left;Supplemental Slots 25-28;International;;
dicoy-williams;Dicoy Williams;6' 2";187 lbs;10.7.1986 (38);Kingston, Jamaica;Defender;;;;;
devron-garcia;Devron Garcia;6' 3";187 lbs;2.17.1996 (29);Roatan, Honduras;Defender;Right;;International;Unknown;Unknown
deybi-flores;Deybi Flores;6' 0";150 lbs;6.16.1996 (28);San Pedro Sula, Honduras;Midfielder;Right;;;;
diaz-kambere;Diaz Kambere;5' 9";;10.18.1985 (39);Kasese, Uganda;Defender;;;;;
diego-abarca;Diego Abarca;5' 6";135 lbs;6.19.2005 (19);El Paso, TX, USA;Forward;;;;;
diego-calderon;Diego Calderon;5' 11";174 lbs;10.26.1986 (38);Quito, Ecuador;Defender;;;;;
didier-domi;Didier Domi;5' 11";161 lbs;4.2.1978 (47);Sarcelles, France;Defender;;;;;
didier-drogba-x7391;Didier Drogba;6' 2";201 lbs;3.11.1978 (47);Abidjan, Ivory Coast;Forward;;;;;
diego-gomez;Diego Gómez;6' 0";161 lbs;3.27.2003 (22);San Juan Bautista, Paraguay;Midfielder;Right;Senior;International, U22 Initiative;;
diego-konincks;Diego Konincks;;;11.30.2000 (24);Montfoort, Netherlands;Defender;;;;;
diego-jimenez;Diego Octavio Jimenez;6' 0";161 lbs;4.7.1986 (38);Tepatitlan, Jalisco Mexico;Defender;;;;;
diego-fagundez;Diego Fagúndez;5' 8";141 lbs;2.14.1995 (30);Montevideo, Uruguay;Midfielder;;Senior;;;
diego-campos;Diego Campos;5' 10";170 lbs;10.1.1995 (29);San Jose, Costa Rica;Midfielder;Right;;;Unknown;Unknown
diego-garcia;Diego García;5' 9";141 lbs;10.17.2006 (18);Denver, CO, USA;Midfielder;;;;;
diego-chaves;Diego Chaves;5' 10";150 lbs;2.14.1986 (39);Montevideo, Uruguay;Forward;;;;;
diego-gonzalez;Diego Gonzalez;5' 7";141 lbs;10.16.2002 (22);Houston, Texas, USA;Midfielder;;;;;
diego-chara;Diego Chara;5' 8";150 lbs;4.5.1986 (39);Cali, Colombia;Midfielder;Right;Senior;;;
diego-gutierrez;Diego Gutiérrez;5' 11";146 lbs;1.5.1999 (26);Omaha, USA;Forward;;Supplemental Slots 29-30;;Unknown;Unknown
diego-luna;Diego Luna;5' 8";187 lbs;9.7.2003 (21);Sunnyvale, CA, USA;Midfielder;Right;Supplemental Slots 21-24;Homegrown;;
diego-rossi;Diego Rossi;5' 7";143 lbs;3.5.1998 (27);Montevideo, Uruguay;Forward;Right;Senior;Designated Player;;
diego-polenta;Diego Polenta;6' 1";192 lbs;2.6.1992 (33);Montevideo, Uruguay;Defender;;;;;
diego-rosales;Diego Rosales;5' 11";159 lbs;11.1.2005 (19);South Gate, USA;Defender;;Supplemental Slots 29-30;Homegrown;;
diego-rubio;Diego Rubio;5' 11";170 lbs;5.15.1993 (31);Santiago de Chile, Chile;Forward;Right;Senior;;;
diego-rodriguez;Diego Rodriguez;6' 3";183 lbs;1.8.1991 (34);Montevideo, Uruguay;Defender;;;;;
diego-sonora;Diego Sonora;5' 8";165 lbs;1.1.0001 (2024);Buenos Aires, Argentina;Defender;;;;;
diego-pepi;Diego Pepi;5' 9";157 lbs;12.19.2004 (20);El Paso, TX, USA;Forward;;;;;
diego-serna;Diego Serna;6' 1";194 lbs;10.2.1973 (51);Medellin, Colombia;Forward;;;;;
diego-martinez;Diego Martinez;5' 10";159 lbs;1.19.1992 (33);;Defender;;;;;
digao;Digão;6' 4";183 lbs;10.14.1985 (39);Brasília, Brazil;Defender;;;;;
dillon-powers;Dillon Powers;5' 11";170 lbs;2.14.1991 (34);Plano, TX USA;Midfielder;;;;Unknown;Unknown
diego-valeri;Diego Valeri;5' 10";165 lbs;5.1.1986 (38);Valentin Alsina, Argentina;Midfielder;Right;Senior;;Attacking Midfielder;Left/Centre/Right
dillon-serna;Dillon Serna;5' 7";139 lbs;3.30.1994 (31);Denver, USA;Defender;;;Homegrown;Unknown;Unknown
diego-viera;Diego Viera;6' 2";181 lbs;4.10.1972 (52);Montevideo, Uruguay;Forward;;;;;
diogo-goncalves-x8534;Diogo Gonçalves;5' 10";154 lbs;2.6.1997 (28);Almodôvar, Portugal;Midfielder;Right;;;;
dimitry-imbongo;Dimitry Imbongo;6' 0";161 lbs;3.28.1990 (35);Kinshasa, Democratic Republic of the Congo;Forward;;;;;
dilly-duka;Dilly Duka;5' 9";161 lbs;9.15.1989 (35);Montville, NJ USA;Midfielder;;;;Attacking Midfielder;Left/Centre/Right
diego-walsh;Diego Walsh;6' 0";181 lbs;12.8.1979 (45);Santos, Brazil;Midfielder;;;;;
diogo-de-almeida;Diogo de Almeida;6' 0";174 lbs;1.2.1989 (36);Piricicaba, Brazil;Defender;;;;;
dje-d-avilla;Dje D’Avilla;6' 3";181 lbs;5.5.2003 (21);Attécoubé, Côte d'Ivoire;Midfielder;;;;;
dionysus-sebwe;Dionysus Sebwe;;;1.1.0001 (2024);;Defender;;;;;
djevencio-van-der-kust;Djevencio van der Kust;5' 10";;4.30.2001 (23);;Defender;Left;Supplemental Slots 21-24;International;Full Back;Left
dion-pereira;Dion Pereira;5' 11";170 lbs;3.25.1999 (26);Watford, England;Forward;;;;Winger;Left
djimi-traore;Djimi Traoré;6' 3";192 lbs;3.1.1980 (45);Saint-Ouen, France;Defender;;;;;
d-j-countess;D.J. Countess;6' 1";185 lbs;1.9.1982 (43);Sacramento, CA USA;Goalkeeper;;;;;
dixon-arroyo;Dixon Arroyo;5' 10";161 lbs;6.1.1992 (32);Guayaquil, Ecuador;Midfielder;Right;Senior;International;Unknown;Unknown
djibril-diani;Djibril Diani;6' 5";;2.11.1998 (27);Créteil, France;Midfielder;;;International;;
djordje-mihailovic;Djordje Mihailovic;5' 10";152 lbs;11.10.1998 (26);Jacksonville, USA;Midfielder;Right;Senior;Homegrown, Designated Player;;
dipsy-selolwane;Diphetogo Selolwane;5' 9";150 lbs;1.27.1978 (47);Gaborone, Botswana;Forward;;;;;
dj-taylor;DJ Taylor;5' 8";183 lbs;8.26.1997 (27);Raleigh, NC, USA;Defender;;Senior;;;
dominic-schell;Dominic Schell;5' 7";154 lbs;7.27.1977 (47);Dallas, TX USA;Defender;;;;;
doctor-khumalo;Theophilus Khumalo;6' 1";170 lbs;1.1.0001 (2024);Dube, South Africa;Midfielder;;;;;
dominik-chong-qui;Dominik Chong Qui;;;12.29.2007 (17);;Defender;;;;;
dmitri-strunkin;Dmitri Strunkin;;;1.1.0001 (2024);;Goalkeeper;;;;;
domenic-mediate;Domenic Mediate;5' 9";165 lbs;6.1.1982 (42);Sheridan, WY USA;Midfielder;;;;;
dominic-oduro;Dominic Oduro;6' 0";161 lbs;8.13.1985 (39);Accra, Ghana;Forward;;;;;
dom-dwyer;Dom Dwyer;5' 9";181 lbs;7.30.1990 (34);Cuckfield, England;Forward;Left;Senior;;Striker;Centre
dominick-hernandez;Dominick Hernandez;5' 10";172 lbs;9.21.1998 (26);Duncanville, Texas, TX USA;Midfielder;;Supplemental Slots 25-28;;Unknown;Unknown
domenico-criscito;Domenico Criscito;6' 0";165 lbs;12.30.1986 (38);Cercola, Italy;Defender;Left;Senior;;Full Back;Left
don-anding;Don Anding;5' 11";;5.31.1991 (33);Amity Harbor, NY USA;Forward;;;;;
dominique-badji;Dominique Badji;6' 0";170 lbs;10.16.1992 (32);Dakar, Senegal;Forward;;Senior;;Attacking Midfielder;
doneil-henry;Doneil Henry;6' 2";181 lbs;4.20.1993 (31);Brampton, ON, Canada;Defender;;Senior;International;;
don-gramenz;Don Gramenz;5' 7";150 lbs;3.20.1971 (54);Cotton Grove, MN USA;Defender;;;;;
dominik-iankov;Dominic Iankov;5' 11";;7.28.2000 (24);Toronto, ON, Canada;Midfielder;;;;;
donnie-smith;Donnie Smith;5' 11";161 lbs;12.7.1990 (34);Matthews, NC USA;Defender;;;;;
donny-toia;Donny Toia;5' 8";161 lbs;5.28.1992 (32);Tucson, AZ USA;Defender;;Senior;Homegrown;Full Back;Left
dominik-marczuk;Dominik Marczuk;5' 10";;11.1.2003 (21);Międzyrzec Podlaski, Poland;Midfielder;;;;;
donovan-parisian;Donovan Parisian;6' 4";205 lbs;9.27.2004 (20);Queen Creek, AZ, USA;Goalkeeper;;;;;
dominik-jakubek;Dominik Jakubek;6' 0";190 lbs;9.2.1979 (45);Santa Clara, CA USA;Goalkeeper;;;;;
donovan-pines;Donovan Pines;6' 4";194 lbs;3.7.1998 (27);Clarksville, USA;Defender;;Supplemental Slots 25-28;Homegrown;Central Defender;Centre
douglas-costa;Douglas Costa;5' 8";154 lbs;9.14.1990 (34);Sapucaia do Sul, Brazil;Midfielder;Left;Senior;International, Designated Player;Attacking Midfielder;Left/Right
dorde-petrovic;Djordje Petrovic;6' 4";196 lbs;10.8.1999 (25);Požarevac, Serbia;Goalkeeper;Right;Senior;International;Goalkeeper;Unknown
douglas-sequeira;Douglas Sequeira;6' 1";181 lbs;8.23.1977 (47);San Jose, Costa Rica;Midfielder;;;;;
doug-warren;Doug Warren;6' 0";190 lbs;3.18.1981 (44);Palatine, IL USA;Goalkeeper;;;;;
doug-petras;Doug Petras;6' 3";205 lbs;7.29.1972 (52);Pittsburgh, PA USA;Goalkeeper;;;;;
douglas-lascody;Douglas Lascody;6' 0";170 lbs;3.8.1983 (42);Springfield, IL USA;Midfielder;;;;;
don-tchilao;Don Tchilao;6' 0";174 lbs;8.20.1996 (28);;Forward;;;;;
douglas-martinez;Douglas Martínez;6' 0";132 lbs;6.5.1997 (27);;Forward;;Supplemental Slots 25-28;International;Unknown;Unknown
donovan-ricketts;Donovan Ricketts;6' 4";216 lbs;7.6.1977 (47);St. James, Jamaica;Goalkeeper;;;;;
drew-conner;Drew Conner;5' 11";165 lbs;2.18.1994 (31);, IL USA;Midfielder;;;;Central Midfielder;Centre
drew-helm;Drew Helm;6' 1";165 lbs;11.9.1984 (40);Jupiter, FL USA;Forward;;;;;
drew-skundrich;Drew Skundrich;5' 11";165 lbs;9.17.1995 (29);Lancaster, PA;Midfielder;;Senior;;Central Midfielder;Centre
duke-hashimoto;Duke Earl Hashimoto;5' 7";150 lbs;12.15.1984 (40);Kapolei, HI USA;Forward;;;;;
duilio-davino;Duilio Cesar Jean Pierre Davino;5' 9";168 lbs;3.21.1976 (49);Leon, Guanajuato Mexico;Defender;;;;;
drew-moor;Drew William Moor;6' 0";165 lbs;1.15.1984 (41);Dallas, TX USA;Defender;Right;Senior;;Central Defender;Centre
drake-callender;Drake Callender;6' 3";194 lbs;10.7.1997 (27);Sacramento, CA, USA;Goalkeeper;Right;Senior;Homegrown;;
dru-anthony-yearwood;Dru Yearwood;5' 8";150 lbs;2.17.2000 (25);Harlow, England;Midfielder;;Senior;;;
drew-beckie;Drew Beckie;6' 1";161 lbs;9.30.1990 (34);Regina, SK Canada;Defender;Right;;;Central Defender;Left/Right
duncan-mcguire;Duncan McGuire;6' 1";;2.5.2001 (24);USA, USA;Forward;;Senior;;;
duran-michael-ferree;Duran Ferree;6' 1";165 lbs;9.28.2006 (18);San Diego, CA, USA;Goalkeeper;;;;;
dustin-aguirre;Dustin Aguirre Barreneche;6' 0";161 lbs;12.18.2004 (20);unknown, USA;;Right;;;;
dustin-sheppard;Dustin Sheppard;5' 11";181 lbs;9.23.1980 (44);New Brunswick, NJ USA;Forward;;;;;
dylan-borrero;Dylan Borrero;5' 11";146 lbs;1.5.2002 (23);Palmira, Colombia;Midfielder;Right;Senior;International, U22 Initiative;Attacking Midfielder;Centre
duncan-oughton;Duncan Oughton;5' 9";161 lbs;6.14.1977 (47);Wellington, New Zealand;Midfielder;;;;;
dustin-branan;Dustin Branan;6' 3";190 lbs;5.21.1981 (43);Lakeville, MN USA;Defender;;;;;
dusty-hudock;Dusty Hudock;6' 2";181 lbs;9.4.1972 (52);Cleveland, OH USA;Goalkeeper;;;;;
dustin-kirby;Dustin Kirby;5' 10";172 lbs;12.12.1984 (40);Mentor, OH USA;Defender;;;;;
dustin-mccarty;Dustin McCarty;5' 8";165 lbs;10.12.1988 (36);;Midfielder;;;;;
dwayne-de-rosario;Dwayne De Rosario;5' 9";183 lbs;5.15.1978 (46);Scarborough, ON Canada;Midfielder;;;;;
dylan-castanheira;Dylan Castanheira;6' 2";201 lbs;5.23.1995 (29);Landing, NJ USA;Goalkeeper;;Supplemental Slots 21-24;;Goalkeeper;Unknown
dylan-tucker-gangnes;Dylan Tucker-Gangnes;6' 3";190 lbs;10.3.1989 (35);Bainbridge Island, WA USA;Defender;;;;;
dzenan-catic;Dzenan Catic;6' 3";185 lbs;5.26.1992 (32);Jablanica, Bosnia & Herzegovina;Forward;;;;;
dylan-chambost;Dylan Chambost;5' 10";154 lbs;8.19.1997 (27);Annecy, France;Midfielder;Left;Senior;International;;
earl-edwards-jr;Earl Edwards Jr.;6' 3";205 lbs;1.24.1992 (33);San Diego, CA, USA;Goalkeeper;Right;Supplemental Slots 21-24;;;
earnie-stewart;Earnie Stewart;5' 9";161 lbs;1.1.0001 (2024);Veghel, Netherlands;Midfielder;;;;;
dylan-remick;Dylan Remick;6' 0";165 lbs;5.19.1991 (33);;Defender;;;;;
dylan-nealis;Dylan Nealis;5' 11";174 lbs;7.30.1998 (26);Massapequa, NY, USA;Defender;;Senior;;;
dylan-teves;Dylan Teves;5' 8";139 lbs;5.14.2000 (24);Honolulu, HI, USA;Midfielder;;Supplemental Slots 25-28;Homegrown;Unknown;Unknown
dylan-borso;Dylan Borso;5' 11";165 lbs;6.2.2006 (18);Chicago, IL, USA;Midfielder;;;;;
eddie-lewis;Eddie Lewis;5' 10";154 lbs;5.17.1974 (50);Cerritos, CA USA;Midfielder;;;;;
easton-wilson;Easton Wilson;5' 10";165 lbs;6.10.1983 (41);Hartford, CT USA;Midfielder;;;;;
ebenezer-ofori;Ebenezer Ofori;5' 8";154 lbs;7.1.1995 (29);Kumasi, Ghana;Midfielder;;;;;
eddie-gaven;Eddie Gaven;6' 0";165 lbs;10.25.1986 (38);Hamilton, NJ USA;Midfielder;;;;;
eddie-johnson;Eddie Johnson;6' 0";181 lbs;3.31.1984 (41);Daytona Beach, FL USA;Forward;;;;;
eddie-pope;Eddie Pope;6' 1";181 lbs;12.24.1973 (51);High Point, NC USA;Defender;;;;;
eddie-robinson;Eddie Robinson;6' 1";185 lbs;6.19.1978 (46);Orlando, FL USA;Defender;;;;;
eddie-ababio;Eddie Ababio;5' 11";174 lbs;1.1.1988 (37);Kumasi, Ghana;Defender;;;;;
eddie-munjoma;Edwin Munjoma;5' 10";161 lbs;7.18.1998 (26);McKinney, TX USA;Defender;;Supplemental Slots 21-24;Homegrown;Central Defender;Centre
easton-ongaro;Easton Ongaro;6' 6";185 lbs;6.5.1998 (26);Edmonton, Canada;Forward;Left;;;Unknown;Unknown
edgar-bartolomeu;Edgar Bartolomeu;5' 10";146 lbs;9.14.1976 (48);Lunda-Sul, Angola;Defender;;;;;
eddy-viator;Eddy Viator;5' 11";154 lbs;6.2.1982 (42);;Defender;;;;;
eddie-segura;Eddie Segura;5' 10";154 lbs;2.2.1997 (28);Pereira, Colombia;Defender;Right;Senior;;;
edgar-castillo;Edgar Castillo;5' 7";141 lbs;10.8.1986 (38);Las Cruces, NM USA;Defender;;Senior;;Full Back;Left
eder-robles;Eder Robles;5' 8";170 lbs;7.7.1988 (36);Torrance, CA USA;Defender;;;;;
edier-ocampo;Édier Ocampo;5' 9";150 lbs;10.3.2003 (21);San Andrés de Tumaco, Colombia;Defender;;;;;
edgar-mejia;Edgar Mejía;5' 7";174 lbs;7.27.1988 (36);Guadalajara, Mexico;Midfielder;;;;;
edgar-hernandez;Edgar Hernandez;;;1.1.0001 (2024);;Forward;;;;;
edgaras-jankauskas;Edgaras Jankauskas;6' 4";190 lbs;3.12.1975 (50);Vilnius, Lithuania USSR;Forward;;;;;
edison-azcona;Edison Azcona;4' 3";146 lbs;11.21.2003 (21);unknown, Dominican Republic;Forward;;Supplemental Slots 29-30;Homegrown;Unknown;Unknown
edmundo-rodriguez;Edmundo Rodriguez;6' 4";205 lbs;4.22.1970 (54);Guadalajara, Mexico;Midfielder;;;;;
edson-edward;Edson Edward;6' 0";205 lbs;9.20.1988 (36);Ottawa, Ontario Canada;Defender;;;;;
ed-puskarich;Ed Puskarich;6' 0";161 lbs;1.1.0001 (2024);Plano, TX USA;Defender;;;;;
edson-elcock;Edson Elcock;5' 7";146 lbs;1.10.1985 (40);;Midfielder;;;;;
ed-pinon;Ed Pinon;5' 10";154 lbs;5.26.1971 (53);St. Louis, MO USA;Midfielder;;;;;
ednaldo-da-conceicao;Ednaldo da Conceicao;6' 3";172 lbs;2.6.1976 (49);Rio de Janeiro, Brazil;Forward;;;;;
edison-flores;Edison Flores;5' 7";154 lbs;5.14.1994 (30);Comas, Peru;Midfielder;Left;Senior;International, Designated Player;Attacking Midfielder;Left/Centre/Right
edson-buddle;Edson Buddle;6' 1";185 lbs;5.21.1981 (43);White Plains, NY USA;Forward;;;;;
edmundo-zura;Edmundo Zura;6' 0";194 lbs;12.1.1983 (41);Pimampiro, Ecuador;Forward;;;;;
edu;Edu;6' 0";174 lbs;1.10.1979 (46);São Paulo, Brazil;Forward;;;;;
eduardo-lopez;Javier Eduardo López;5' 5";161 lbs;9.17.1994 (30);Torreón, Mexico;Midfielder;Left;Senior;International, Designated Player;Attacking Midfielder;Unknown
eduardo-hurtado;Eduardo Hurtado;6' 3";201 lbs;1.1.0001 (2024);Esmeraldas, Ecuador;Forward;;;;;
eduardo-cortes;Eduardo Cortes;5' 10";170 lbs;8.31.1993 (31);Zapopan, Jalisco Mexico;Goalkeeper;;;;;
eduardo-sebrango;Eduardo Sebrango;6' 0";179 lbs;4.13.1973 (51);Sancti Spíritus, Cuba;Forward;;;;;
eduard-atuesta;Eduard Atuesta;5' 11";154 lbs;6.18.1997 (27);Velez, Colombia;Midfielder;;Senior;;;
eduardo-coudet;Eduardo Coudet;5' 10";168 lbs;9.12.1974 (50);Buenos Aires, Argentina;Midfielder;;;;;
eduardo-lillingston;Eduardo Lillingston;6' 1";181 lbs;12.23.1977 (47);Guadalajara, Jalisco Mexico;Forward;;;;;
eduard-lowen;Eduard Löwen;6' 2";201 lbs;1.28.1997 (28);Idar-Oberstein, Germany;Midfielder;Both;Senior;Designated Player, International;;
eduardo-espinoza;Eduardo Missael Espinoza;5' 8";154 lbs;1.1.0001 (2024);Tepic, Mexico;Forward;;;;;
eduardo-dominguez;Eduardo Dominguez;6' 1";181 lbs;9.1.1978 (46);Lanus, Argentina;Defender;;;;;
edward-davis;Edward Davis;6' 0";150 lbs;6.17.2006 (18);Los Angeles, CA, USA;Forward;;;;;
edwin-gyasi;Edwin Gyasi;6' 1";168 lbs;7.1.1991 (33);Amsterdam, Netherlands;Midfielder;;;;;
edward-opoku;Edward Opoku;5' 7";141 lbs;8.1.1997 (27);;Forward;;;;;
edwin-gorter;Edwin Gorter;5' 10";176 lbs;1.1.0001 (2024);Amsterdam, Netherlands;Midfielder;;;;;
eduardo-sosa;Eduardo Sosa;5' 7";165 lbs;6.20.1996 (28);Barinas, Venezuela;Midfielder;;;;;
edward-berumen;Edward Berumen;;;;;Defender;;;;;
edvard-tagseth;Edvard Tagseth;5' 6";141 lbs;1.23.2001 (24);Frosta, Norway;Midfielder;;;;;
edwin-cerrillo;Edwin Cerrillo;5' 9";174 lbs;10.3.2000 (24);Waco, TX, USA;Midfielder;;Senior;Homegrown;;
edward-kizza-x1132;Edward Kizza;5' 9";170 lbs;12.17.1998 (26);;Forward;;Supplemental Slots 25-28;International;Unknown;Unknown
edwin-mosquera;Edwin Mosquera;5' 7";128 lbs;6.27.2001 (23);Chocó, Colombia;Midfielder;;Senior;U22 Initiative;;
efrain-juarez;Efrain Juarez;5' 11";154 lbs;2.22.1988 (37);Mexico City, Mexico;Midfielder;;;;;
efrain-morales;Efraín Morales;6' 3";183 lbs;3.4.2004 (21);Decatur, GA, USA;Defender;Right;Supplemental Slots 29-30;Homegrown;;
elbekay-bouchiba;Elbekay Bouchiba;5' 10";163 lbs;11.1.1978 (46);;Midfielder;;;;;
elias-vasquez;Elias Vasquez;5' 11";170 lbs;6.18.1992 (32);Guatemala City, Guatemala;Defender;;;;;
efrain-burgos;Efrain Burgos;5' 11";165 lbs;8.14.1988 (36);Santa Ana, El Salvador;Midfielder;;;;Central Midfielder;Centre
elias-manoel-alves-de-paula;Elias Manoel;5' 9";165 lbs;11.30.2001 (23);Itapevi, Brazil;Forward;;Senior;International;;
efrain-alvarez;Efraín Álvarez;5' 8";150 lbs;6.19.2002 (22);Los Angeles, USA;Midfielder;Left;Senior;Homegrown;Unknown;Unknown
edwyn-mendoza;Edwyn Mendoza;;;5.3.2006 (18);San Jose, CA, USA;Midfielder;;Signed;Homegrown;;
eldin-jakupovic;Eldin Jakupović;6' 3";187 lbs;10.2.1984 (40);Kozarac, Bosnia and Herzegovina;Goalkeeper;Right;Senior;International;;
eirik-johansen;Eirik Johansen;6' 7";236 lbs;7.12.1992 (32);Tonsberg, Norway;Goalkeeper;;;;;
elijah-wynder;Elijah Wynder;6' 1";170 lbs;3.10.2003 (22);Oldham County, KY, USA;Midfielder;;;;;
elie-ikangu;Elie Ikangu;5' 7";135 lbs;10.4.1986 (38);Paris, France;Midfielder;;;;;
el-mahdi-youssoufi;El Mahdi Youssoufi;5' 8";159 lbs;9.18.1998 (26);;Forward;;Drafted;;Unknown;Unknown
eloy-colombano;Eloy Colombano;5' 8";161 lbs;6.15.1983 (41);Pehuajo, Argentina;Midfielder;;;;;
eliseo-quintanilla;Eliseo Quintanilla;5' 6";159 lbs;2.5.1983 (42);La Libertad, El Salvador;Midfielder;;;;;
ellis-mcloughlin;Ellis McLoughlin;5' 10";165 lbs;7.8.1990 (34);Seattle, WA USA;Forward;;;;;
elliot-panicco;Elliot Joseph Panicco;6' 5";205 lbs;11.18.1996 (28);Paducah, KY, USA;Goalkeeper;;Supplemental Slots 21-24;;;
elliot-collier;Elliot Collier;6' 4";179 lbs;2.22.1995 (30);Hamilton, New Zealand;Forward;;Senior;;Unknown;Unknown
eloi-amagat;Eloi Amagat;6' 0";159 lbs;5.21.1985 (39);Girona, Spain;Midfielder;;;;;
eliot-goldthrop;Eliot Goldthorp;;;11.3.2001 (23);;Midfielder;;;;;
eloy-room;Eloy Room;6' 3";218 lbs;2.6.1989 (36);Nijmegen, Netherlands;Goalkeeper;Right;Senior;;Goalkeeper;Unknown
ema-twumasi;Emmanuel Twumasi;5' 8";168 lbs;5.18.1997 (27);Accra, Ghana;Defender;;Senior;Generation adidas;Unknown;Unknown
emanuel-reynoso;Emanuel Reynoso;5' 7";161 lbs;11.16.1995 (29);Córdoba, Argentina;Midfielder;Left;Senior;International, Designated Player;Attacking Midfielder;Unknown
emanuel-cecchini;Emanuel Cecchini;5' 11";170 lbs;12.24.1996 (28);Ingeniero Huergo, Argentina;Midfielder;;Senior;International;;
emanuel-perez;Emanuel Perez;6' 0";161 lbs;2.19.1999 (26);, NC USA;Midfielder;;Supplemental Slots 25-28;;Unknown;Unknown
emanuel-maciel;Emanuel Maciel;5' 11";;3.28.1997 (28);Buenos Aires, Argentina;Midfielder;Left;Senior;International;Defensive Midfielder;Centre
emanuel-pogatetz;Emanuel Pogatetz;6' 3";198 lbs;1.16.1983 (42);Graz, Austria;Defender;;;;;
emeka-eneli;Emeka Eneli;5' 9";;10.18.1999 (25);unknown, USA;Midfielder;;Supplemental Slots 25-28;;;
ely-allen;Ely Allen;5' 11";165 lbs;6.12.1986 (38);Anchorage, AK USA;Midfielder;;;;;
emerson-hyndman;Emerson Hyndman;5' 7";135 lbs;4.9.1996 (28);, TX;Midfielder;Right;Senior;;Central Midfielder;Centre
emerson-rodriguez;;;;;;;;;;;
emil-gazdov;Emil Gazdov;6' 3";209 lbs;9.11.2003 (21);North Vancouver, BC, Canada;Goalkeeper;;;;;
emiliano-brienza;Emiliano Brienza;5' 10";174 lbs;9.5.2002 (22);;Forward;;;;Unknown;Unknown
emery-welshman;Emery Welshman;6' 0";190 lbs;11.9.1991 (33);Mississauga, ON Guyana;Forward;Right;;;Unknown;Unknown
emiliano-bonfigli;Emiliano Bonfigli;5' 10";148 lbs;4.15.1988 (36);Buenos Aires, Argentina;Forward;;;;;
emiliano-insua;Emiliano Insúa;5' 11";174 lbs;1.7.1989 (36);Buenos Aires, Argentina;Defender;Left;Senior;International;Full Back;Left
emiliano-amor;Emiliano Amor;6' 0";174 lbs;5.16.1995 (29);Buenos Aires, Argentina;Defender;;;;;
emiliano-dudar;Emiliano Dudar;6' 4";198 lbs;8.12.1981 (43);Buenos Aires, Argentina;Defender;;;;;
emil-forsberg;Emil Forsberg;5' 10";168 lbs;10.23.1991 (33);Sundsvall, Sweden;Midfielder;Right;;Designated Player, International;;
emil-cuello;Emil Cuello;5' 11";165 lbs;1.2.1997 (28);Buenos Aires, USA;Midfielder;Left;Senior;;Unknown;Unknown
emiliano-rigoni;Emiliano Rigoni;5' 11";192 lbs;2.4.1993 (32);Colonia Caroya, Argentina;Midfielder;Both;Senior;Designated Player, International;Winger;Left/Right
emiro-garces;Emiro Garcés;6' 1";174 lbs;10.11.2001 (23);López de Micay, Colombia;Defender;;;;;
emilio-renteria;Emilio Rentería;5' 9";179 lbs;10.2.1984 (40);Caracas, Venezuela;Forward;;;;;
emil-jaaskelainen;Emil Jääskeläinen;6' 3";;3.16.2001 (24);Bolton, England;Forward;;;;;
emilio-orozco;Emilio Orozco;5' 11";168 lbs;4.29.1992 (32);Oxnard, CA USA;Defender;;;;;
emmanuel-ekpo;Emmanuel Ekpo;6' 2";165 lbs;12.20.1987 (37);Ekori, Nigeria;Midfielder;;;;;
emiro-garces-x0776;Emiro Garces;6' 1";174 lbs;10.11.2001 (23);López de Micay, Colombia;Defender;;;;;
emmanuel-boateng;Emmanuel Boateng;5' 6";150 lbs;1.17.1994 (31);Accra, Ghana;Midfielder;;Senior;;;
emil-larsen;Emil Larsen;5' 11";172 lbs;6.22.1991 (33);;Midfielder;;;;;
emmanuel-appiah;Emmanuel Appiah;5' 9";161 lbs;9.26.1993 (31);Sampa, Ghana;Midfielder;;;;;
emmanuel-latte-lath;Emmanuel Latte Lath;5' 10";165 lbs;1.1.1999 (26);Abidjan, Côte d'Ivoire;Forward;;;Designated Player, International;;
emmanuel-gomez;Emmanuel Gomez;6' 3";172 lbs;12.20.1990 (34);Dippa Kunda, Gambia;Defender;;;;;
emrah-klimenta;Emrah Klimenta;6' 1";181 lbs;2.13.1991 (34);Rozaje, Montenegro;Defender;Both;;;Central Defender;Centre
emmanuel-mas;Emmanuel Más;5' 11";161 lbs;1.15.1989 (36);San Juan, Argentina;Defender;Left;Senior;International;Full Back;Left
emmanuel-ledesma;Emmanuel Ledesma;6' 0";161 lbs;5.24.1988 (36);Quilmes, Argentina;Midfielder;Left;;;Winger;Right
emmanuel-osei;Emmanuel Osei;5' 11";161 lbs;8.23.1982 (42);Accra, Ghana;Defender;;;;;
emmett-idzahl;Emmett Idzahl;;;1.1.0001 (2024);;Goalkeeper;;;;;
emmanuel-sabbi;Emmanuel Sabbi;5' 10";161 lbs;12.24.1997 (27);Schio, Italy;Forward;Right;;;;
emmanuel-iwe;Emmanuel Iwe;5' 9";152 lbs;9.12.2000 (24);unknown, Nigeria;Forward;;Supplemental Slots 25-28;;;
